Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_008728515.1		Primary Assembly	Un			VSMJ01005266.1	Chromosome		NW_022165652.1	unplaced-scaffold	1611		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005267.1	Chromosome		NW_022165653.1	unplaced-scaffold	1611		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005268.1	Chromosome		NW_022165654.1	unplaced-scaffold	1610		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005269.1	Chromosome		NW_022165656.1	unplaced-scaffold	1610		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005270.1	Chromosome		NW_022165657.1	unplaced-scaffold	1609		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005271.1	Chromosome		NW_022165658.1	unplaced-scaffold	1609		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005272.1	Chromosome		NW_022165659.1	unplaced-scaffold	1609		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005273.1	Chromosome		NW_022165660.1	unplaced-scaffold	1609		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005274.1	Chromosome		NW_022165661.1	unplaced-scaffold	1608		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005275.1	Chromosome		NW_022165662.1	unplaced-scaffold	1608		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005276.1	Chromosome		NW_022165663.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005277.1	Chromosome		NW_022165664.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005278.1	Chromosome		NW_022165665.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005279.1	Chromosome		NW_022165667.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005280.1	Chromosome		NW_022165668.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005281.1	Chromosome		NW_022165669.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005282.1	Chromosome		NW_022165670.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005283.1	Chromosome		NW_022165671.1	unplaced-scaffold	1607		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005284.1	Chromosome		NW_022165672.1	unplaced-scaffold	1606		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005285.1	Chromosome		NW_022165673.1	unplaced-scaffold	1606		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005286.1	Chromosome		NW_022165674.1	unplaced-scaffold	1606		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005287.1	Chromosome		NW_022165675.1	unplaced-scaffold	1605		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005288.1	Chromosome		NW_022165676.1	unplaced-scaffold	1605		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005289.1	Chromosome		NW_022165678.1	unplaced-scaffold	1605		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005290.1	Chromosome		NW_022165679.1	unplaced-scaffold	1605		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005291.1	Chromosome		NW_022165680.1	unplaced-scaffold	1605		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005292.1	Chromosome		NW_022165681.1	unplaced-scaffold	1605		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005293.1	Chromosome		NW_022165682.1	unplaced-scaffold	1604		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005294.1	Chromosome		NW_022165683.1	unplaced-scaffold	1604		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005295.1	Chromosome		NW_022165684.1	unplaced-scaffold	1604		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005296.1	Chromosome		NW_022165685.1	unplaced-scaffold	1604		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005297.1	Chromosome		NW_022165686.1	unplaced-scaffold	1603		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005298.1	Chromosome		NW_022165688.1	unplaced-scaffold	1603		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005299.1	Chromosome		NW_022165689.1	unplaced-scaffold	1603		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005300.1	Chromosome		NW_022165690.1	unplaced-scaffold	1601		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005301.1	Chromosome		NW_022165691.1	unplaced-scaffold	1601		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005302.1	Chromosome		NW_022165692.1	unplaced-scaffold	1601		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005303.1	Chromosome		NW_022165693.1	unplaced-scaffold	1600		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005304.1	Chromosome		NW_022165694.1	unplaced-scaffold	1599		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005305.1	Chromosome		NW_022165695.1	unplaced-scaffold	1599		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005306.1	Chromosome		NW_022165697.1	unplaced-scaffold	1599		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005307.1	Chromosome		NW_022165698.1	unplaced-scaffold	1598		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005308.1	Chromosome		NW_022165699.1	unplaced-scaffold	1598		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005309.1	Chromosome		NW_022165700.1	unplaced-scaffold	1598		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005310.1	Chromosome		NW_022165701.1	unplaced-scaffold	1597		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005311.1	Chromosome		NW_022165702.1	unplaced-scaffold	1597		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005312.1	Chromosome		NW_022165703.1	unplaced-scaffold	1597		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005313.1	Chromosome		NW_022165704.1	unplaced-scaffold	1596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005314.1	Chromosome		NW_022165705.1	unplaced-scaffold	1596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005315.1	Chromosome		NW_022165706.1	unplaced-scaffold	1596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005316.1	Chromosome		NW_022165708.1	unplaced-scaffold	1596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005317.1	Chromosome		NW_022165709.1	unplaced-scaffold	1596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005318.1	Chromosome		NW_022165710.1	unplaced-scaffold	1596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005319.1	Chromosome		NW_022165711.1	unplaced-scaffold	1596		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005320.1	Chromosome		NW_022165712.1	unplaced-scaffold	1595		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005321.1	Chromosome		NW_022165713.1	unplaced-scaffold	1595		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005322.1	Chromosome		NW_022165714.1	unplaced-scaffold	1595		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005323.1	Chromosome		NW_022165715.1	unplaced-scaffold	1594		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005324.1	Chromosome		NW_022165716.1	unplaced-scaffold	1594		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005325.1	Chromosome		NW_022165717.1	unplaced-scaffold	1593		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005326.1	Chromosome		NW_022165720.1	unplaced-scaffold	1593		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005327.1	Chromosome		NW_022165721.1	unplaced-scaffold	1593		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005328.1	Chromosome		NW_022165722.1	unplaced-scaffold	1592		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005329.1	Chromosome		NW_022165723.1	unplaced-scaffold	1592		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005330.1	Chromosome		NW_022165724.1	unplaced-scaffold	1592		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005331.1	Chromosome		NW_022165725.1	unplaced-scaffold	1591		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005332.1	Chromosome		NW_022165726.1	unplaced-scaffold	1591		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005333.1	Chromosome		NW_022165727.1	unplaced-scaffold	1591		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005334.1	Chromosome		NW_022165728.1	unplaced-scaffold	1590		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005335.1	Chromosome		NW_022165730.1	unplaced-scaffold	1590		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005336.1	Chromosome		NW_022165731.1	unplaced-scaffold	1590		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005337.1	Chromosome		NW_022165732.1	unplaced-scaffold	1590		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005338.1	Chromosome		NW_022165733.1	unplaced-scaffold	1589		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005339.1	Chromosome		NW_022165734.1	unplaced-scaffold	1589		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005340.1	Chromosome		NW_022165735.1	unplaced-scaffold	1589		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005341.1	Chromosome		NW_022165736.1	unplaced-scaffold	1589		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005342.1	Chromosome		NW_022165737.1	unplaced-scaffold	1589		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005343.1	Chromosome		NW_022165738.1	unplaced-scaffold	1588		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005344.1	Chromosome		NW_022165739.1	unplaced-scaffold	1588		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005345.1	Chromosome		NW_022165741.1	unplaced-scaffold	1588		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005346.1	Chromosome		NW_022165742.1	unplaced-scaffold	1588		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005347.1	Chromosome		NW_022165743.1	unplaced-scaffold	1588		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005348.1	Chromosome		NW_022165744.1	unplaced-scaffold	1588		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005349.1	Chromosome		NW_022165745.1	unplaced-scaffold	1586		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005350.1	Chromosome		NW_022165746.1	unplaced-scaffold	1585		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005351.1	Chromosome		NW_022165747.1	unplaced-scaffold	1585		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005352.1	Chromosome		NW_022165748.1	unplaced-scaffold	1585		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005353.1	Chromosome		NW_022165749.1	unplaced-scaffold	1585		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005354.1	Chromosome		NW_022165750.1	unplaced-scaffold	1584		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005355.1	Chromosome		NW_022165752.1	unplaced-scaffold	1584		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005356.1	Chromosome		NW_022165753.1	unplaced-scaffold	1584		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005357.1	Chromosome		NW_022165754.1	unplaced-scaffold	1584		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005358.1	Chromosome		NW_022165755.1	unplaced-scaffold	1583		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005359.1	Chromosome		NW_022165756.1	unplaced-scaffold	1583		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005360.1	Chromosome		NW_022165757.1	unplaced-scaffold	1583		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005361.1	Chromosome		NW_022165758.1	unplaced-scaffold	1582		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005362.1	Chromosome		NW_022165759.1	unplaced-scaffold	1582		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005363.1	Chromosome		NW_022165761.1	unplaced-scaffold	1581		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005364.1	Chromosome		NW_022165762.1	unplaced-scaffold	1580		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005365.1	Chromosome		NW_022165763.1	unplaced-scaffold	1580		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005366.1	Chromosome		NW_022165764.1	unplaced-scaffold	1579		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005367.1	Chromosome		NW_022165765.1	unplaced-scaffold	1579		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005368.1	Chromosome		NW_022165766.1	unplaced-scaffold	1579		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005369.1	Chromosome		NW_022165767.1	unplaced-scaffold	1579		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005370.1	Chromosome		NW_022165768.1	unplaced-scaffold	1579		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005371.1	Chromosome		NW_022165769.1	unplaced-scaffold	1579		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005372.1	Chromosome		NW_022165771.1	unplaced-scaffold	1578		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005373.1	Chromosome		NW_022165772.1	unplaced-scaffold	1578		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005374.1	Chromosome		NW_022165773.1	unplaced-scaffold	1578		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005375.1	Chromosome		NW_022165774.1	unplaced-scaffold	1577		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005376.1	Chromosome		NW_022165775.1	unplaced-scaffold	1577		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005377.1	Chromosome		NW_022165776.1	unplaced-scaffold	1577		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005378.1	Chromosome		NW_022165777.1	unplaced-scaffold	1577		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005379.1	Chromosome		NW_022165778.1	unplaced-scaffold	1576		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005380.1	Chromosome		NW_022165779.1	unplaced-scaffold	1576		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005381.1	Chromosome		NW_022165781.1	unplaced-scaffold	1576		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005382.1	Chromosome		NW_022165782.1	unplaced-scaffold	1576		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005383.1	Chromosome		NW_022165783.1	unplaced-scaffold	1576		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005384.1	Chromosome		NW_022165784.1	unplaced-scaffold	1575		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005385.1	Chromosome		NW_022165785.1	unplaced-scaffold	1574		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005386.1	Chromosome		NW_022165786.1	unplaced-scaffold	1574		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005387.1	Chromosome		NW_022165787.1	unplaced-scaffold	1574		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005388.1	Chromosome		NW_022165788.1	unplaced-scaffold	1574		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005389.1	Chromosome		NW_022165789.1	unplaced-scaffold	1573		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005390.1	Chromosome		NW_022165790.1	unplaced-scaffold	1573		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005391.1	Chromosome		NW_022165792.1	unplaced-scaffold	1573		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005392.1	Chromosome		NW_022165793.1	unplaced-scaffold	1573		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005393.1	Chromosome		NW_022165794.1	unplaced-scaffold	1572		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005394.1	Chromosome		NW_022165795.1	unplaced-scaffold	1572		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005395.1	Chromosome		NW_022165796.1	unplaced-scaffold	1572		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005396.1	Chromosome		NW_022165797.1	unplaced-scaffold	1572		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005397.1	Chromosome		NW_022165798.1	unplaced-scaffold	1571		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005398.1	Chromosome		NW_022165799.1	unplaced-scaffold	1571		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005399.1	Chromosome		NW_022165800.1	unplaced-scaffold	1571		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005400.1	Chromosome		NW_022165802.1	unplaced-scaffold	1571		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005401.1	Chromosome		NW_022165803.1	unplaced-scaffold	1570		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005402.1	Chromosome		NW_022165804.1	unplaced-scaffold	1569		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005403.1	Chromosome		NW_022165805.1	unplaced-scaffold	1569		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005404.1	Chromosome		NW_022165806.1	unplaced-scaffold	1569		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005405.1	Chromosome		NW_022165807.1	unplaced-scaffold	1569		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005406.1	Chromosome		NW_022165808.1	unplaced-scaffold	1568		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005407.1	Chromosome		NW_022165809.1	unplaced-scaffold	1568		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005408.1	Chromosome		NW_022165810.1	unplaced-scaffold	1568		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005409.1	Chromosome		NW_022165812.1	unplaced-scaffold	1567		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005410.1	Chromosome		NW_022165813.1	unplaced-scaffold	1567		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005411.1	Chromosome		NW_022165814.1	unplaced-scaffold	1567		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005412.1	Chromosome		NW_022165815.1	unplaced-scaffold	1567		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005413.1	Chromosome		NW_022165816.1	unplaced-scaffold	1567		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005414.1	Chromosome		NW_022165817.1	unplaced-scaffold	1566		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005415.1	Chromosome		NW_022165818.1	unplaced-scaffold	1566		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005416.1	Chromosome		NW_022165819.1	unplaced-scaffold	1566		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005417.1	Chromosome		NW_022165822.1	unplaced-scaffold	1565		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005418.1	Chromosome		NW_022165823.1	unplaced-scaffold	1565		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005419.1	Chromosome		NW_022165824.1	unplaced-scaffold	1565		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005420.1	Chromosome		NW_022165825.1	unplaced-scaffold	1565		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005421.1	Chromosome		NW_022165826.1	unplaced-scaffold	1565		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005422.1	Chromosome		NW_022165827.1	unplaced-scaffold	1564		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005423.1	Chromosome		NW_022165828.1	unplaced-scaffold	1564		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005424.1	Chromosome		NW_022165829.1	unplaced-scaffold	1563		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005425.1	Chromosome		NW_022165830.1	unplaced-scaffold	1562		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005426.1	Chromosome		NW_022165832.1	unplaced-scaffold	1562		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005427.1	Chromosome		NW_022165833.1	unplaced-scaffold	1562		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005428.1	Chromosome		NW_022165834.1	unplaced-scaffold	1562		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005429.1	Chromosome		NW_022165835.1	unplaced-scaffold	1561		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005430.1	Chromosome		NW_022165836.1	unplaced-scaffold	1561		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005431.1	Chromosome		NW_022165837.1	unplaced-scaffold	1561		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005432.1	Chromosome		NW_022165838.1	unplaced-scaffold	1560		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005433.1	Chromosome		NW_022165839.1	unplaced-scaffold	1559		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005434.1	Chromosome		NW_022165840.1	unplaced-scaffold	1559		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005435.1	Chromosome		NW_022165842.1	unplaced-scaffold	1558		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005436.1	Chromosome		NW_022165843.1	unplaced-scaffold	1558		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005437.1	Chromosome		NW_022165844.1	unplaced-scaffold	1557		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005438.1	Chromosome		NW_022165845.1	unplaced-scaffold	1557		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005439.1	Chromosome		NW_022165846.1	unplaced-scaffold	1556		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005440.1	Chromosome		NW_022165847.1	unplaced-scaffold	1556		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005441.1	Chromosome		NW_022165848.1	unplaced-scaffold	1556		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005442.1	Chromosome		NW_022165849.1	unplaced-scaffold	1556		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005443.1	Chromosome		NW_022165850.1	unplaced-scaffold	1555		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005444.1	Chromosome		NW_022165852.1	unplaced-scaffold	1555		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005445.1	Chromosome		NW_022165853.1	unplaced-scaffold	1555		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005446.1	Chromosome		NW_022165854.1	unplaced-scaffold	1555		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005447.1	Chromosome		NW_022165855.1	unplaced-scaffold	1554		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005448.1	Chromosome		NW_022165856.1	unplaced-scaffold	1554		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005449.1	Chromosome		NW_022165857.1	unplaced-scaffold	1554		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005450.1	Chromosome		NW_022165858.1	unplaced-scaffold	1554		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005451.1	Chromosome		NW_022165859.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005452.1	Chromosome		NW_022165860.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005453.1	Chromosome		NW_022165862.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005454.1	Chromosome		NW_022165863.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005455.1	Chromosome		NW_022165864.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005456.1	Chromosome		NW_022165865.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005457.1	Chromosome		NW_022165866.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005458.1	Chromosome		NW_022165867.1	unplaced-scaffold	1553		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005459.1	Chromosome		NW_022165868.1	unplaced-scaffold	1552		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005460.1	Chromosome		NW_022165869.1	unplaced-scaffold	1552		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005461.1	Chromosome		NW_022165871.1	unplaced-scaffold	1552		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005462.1	Chromosome		NW_022165872.1	unplaced-scaffold	1551		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005463.1	Chromosome		NW_022165873.1	unplaced-scaffold	1551		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005464.1	Chromosome		NW_022165874.1	unplaced-scaffold	1551		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005465.1	Chromosome		NW_022165875.1	unplaced-scaffold	1551		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005466.1	Chromosome		NW_022165876.1	unplaced-scaffold	1550		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005467.1	Chromosome		NW_022165877.1	unplaced-scaffold	1550		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005468.1	Chromosome		NW_022165878.1	unplaced-scaffold	1549		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005469.1	Chromosome		NW_022165879.1	unplaced-scaffold	1549		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005470.1	Chromosome		NW_022165881.1	unplaced-scaffold	1547		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005471.1	Chromosome		NW_022165882.1	unplaced-scaffold	1547		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005472.1	Chromosome		NW_022165883.1	unplaced-scaffold	1547		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005473.1	Chromosome		NW_022165884.1	unplaced-scaffold	1547		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005474.1	Chromosome		NW_022165885.1	unplaced-scaffold	1546		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005475.1	Chromosome		NW_022165886.1	unplaced-scaffold	1546		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005476.1	Chromosome		NW_022165887.1	unplaced-scaffold	1546		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005477.1	Chromosome		NW_022165888.1	unplaced-scaffold	1545		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005478.1	Chromosome		NW_022165890.1	unplaced-scaffold	1545		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005479.1	Chromosome		NW_022165891.1	unplaced-scaffold	1545		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005480.1	Chromosome		NW_022165892.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005481.1	Chromosome		NW_022165893.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005482.1	Chromosome		NW_022165894.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005483.1	Chromosome		NW_022165895.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005484.1	Chromosome		NW_022165896.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005485.1	Chromosome		NW_022165897.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005486.1	Chromosome		NW_022165898.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005487.1	Chromosome		NW_022165900.1	unplaced-scaffold	1544		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005488.1	Chromosome		NW_022165901.1	unplaced-scaffold	1543		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005489.1	Chromosome		NW_022165902.1	unplaced-scaffold	1543		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005490.1	Chromosome		NW_022165903.1	unplaced-scaffold	1543		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005491.1	Chromosome		NW_022165904.1	unplaced-scaffold	1543		
GCF_008728515.1		Primary Assembly	Un			VSMJ01005492.1	Chromosome		NW_022165905.1	unplaced-scaffold	1543		
